date, pm25, pm10, o3, no2,3so2, co
10/09/2016,23,9,21,1,3,3
11/09/2016,16,8,19,3,3,3
12/09/2016,18,9,11,15,1,3
13/09/2016,15,7,21,3,3,3
14/09/2016,18,16,20,11,1,4
15/09/2016,44,9,14,10,1,3
16/09/2016,27,6,10,8,1,3
17/09/2016,14,8,14,7,1,3
18/09/2016,23,8,12,10,1,3
19/09/2016,20,8,17,9,1,3
20/09/2016,20,11,9,11,1,3
21/09/2016,38,7,21,6,1,3
22/09/2016,15,7,23,2,1,2
23/09/2016,14,6,24,1,1,3
24/09/2016,19,5,23,2,1,3
25/09/2016,14,6,14,9,1,3
26/09/2016,19,14,19,4,1,3
27/09/2016,31,11,15,3,1,3
28/09/2016,28,7,21,3,2,2
29/09/2016,17,5,17,4,2,3
30/09/2016,15,7,15,9,4,1
01/04/2016,14,9,21,9,6,3
02/04/2016,22,17,22,11,7,3
03/04/2016,53,16,19,14,7,4
04/04/2016,45,7,20,16,7,4
05/04/2016,17,8,24,11,7,3
06/04/2016,13,7,18,17,8,4
07/04/2016,11,10,22,8,3,3
19/04/2016,30,15,26,12,11,5
20/04/2016,27,18,27,14,11,5
21/04/2016,36,15,25,6,10,5
22/04/2016,19,11,24,11,11,5
23/04/2016,16,8,26,11,11,5
24/04/2016,14,13,25,12,5,2
25/04/2016,18,8,25,13,3,1
26/04/2016,14,8,18,11,3,1
27/04/2016,10,7,20,10,3,1
28/04/2016,12,8,23,16,3,2
29/04/2016,15,8,24,12,1,2
30/04/2016,15,7,26,4,3,1
01/05/2016,13,9,26,8,1,2
02/05/2016,14,12,26,9,1,2
03/05/2016,17,16,25,5,1,2
04/05/2016,28,13,26,4,1,3
05/05/2016,25,20,29,10,1,5
06/05/2016,44,29,36,2,1,5
07/05/2016,59,32,36,3,1,6
08/05/2016,75,36,38,5,1,6
09/05/2016,68,35,41,4,2,4
10/05/2016,63,33,42,2,2,2
11/05/2016,60,23,33,3,2,2
12/05/2016,46,17,33,3,2,2
13/05/2016,25,14,31,6,2,2
14/05/2016,27,14,29,5,2,2
15/05/2016,29,14,31,8,3,3
16/05/2016,25,15,30,5,3,3
17/05/2016,33,10,24,6,3,4
18/05/2016,20,10,23,5,3,4
19/05/2016,23,11,25,4,3,5
20/05/2016,19,6,27,3,3,5
21/05/2016,9,10,23,6,3,6
22/05/2016,20,9,26,4,4,5
23/05/2016,16,14,28,2,4,5
24/05/2016,23,16,29,2,4,5
25/05/2016,23,17,27,2,4,6
26/05/2016,30,12,24,6,4,6
27/05/2016,34,13,26,4,4,6
28/05/2016,36,14,29,3,4,5
29/05/2016,45,12,28,3,4,4
30/05/2016,32,14,26,5,5,4
31/05/2016,31,16,27,2,5,4
01/06/2016,28,18,28,2,5,6
02/06/2016,29,14,29,2,3,3
03/06/2016,31,32,29,8,1,3
04/06/2016,52,20,26,8,1,3
05/06/2016,38,23,26,4,1,3
06/06/2016,45,18,18,9,1,1
07/06/2016,39,14,22,3,2,3
08/06/2016,33,16,23,4,2,1
09/06/2016,33,20,24,4,2,1
10/06/2016,32,13,21,4,2,1
11/06/2016,31,9,22,4,2,2
12/06/2016,21,17,27,4,2,3
13/06/2016,35,15,25,7,2,3
14/06/2016,36,10,26,6,3,3
15/06/2016,23,10,13,13,3,3
16/06/2016,17,8,11,12,3,1
17/06/2016,17,10,22,8,3,3
20/06/2016,24,10,16,3,2,3
21/06/2016,21,15,18,5,2,2
22/06/2016,28,15,19,6,3,3
23/06/2016,33,11,14,6,3,3
24/06/2016,26,9,24,6,3,3
25/06/2016,17,10,14,6,3,3
26/06/2016,23,17,19,7,4,3
27/06/2016,18,12,17,5,3,3
28/06/2016,23,9,17,5,4,3
29/06/2016,19,10,16,3,4,3
30/06/2016,16,7,17,4,4,3
05/01/2016,17,13,11,5,7,3
06/01/2016,37,7,17,5,7,3
07/01/2016,22,7,17,12,7,7
08/01/2016,17,11,13,18,6,3
09/01/2016,26,9,13,12,3,3
10/01/2016,31,4,21,4,3,3
11/01/2016,10,6,22,14,3,1
12/01/2016,19,6,13,19,3,1
13/01/2016,19,6,9,11,3,2
14/01/2016,12,7,7,8,4,3
15/01/2016,21,9,13,32,4,2
16/01/2016,25,18,9,33,7,3
17/01/2016,48,9,20,18,5,3
18/01/2016,30,17,3,27,5,3
19/01/2016,59,15,8,23,4,3
20/01/2016,48,21,11,19,4,5
21/01/2016,63,17,8,23,5,6
22/01/2016,60,9,22,8,4,6
23/01/2016,20,16,24,7,4,6
24/01/2016,32,4,19,4,5,5
25/01/2016,13,9,23,7,5,4
26/01/2016,26,5,27,2,5,3
27/01/2016,10,10,22,8,3,3
30/01/2016,31,11,27,8,5,1
31/01/2016,23,5,21,11,6,2
01/02/2016,18,12,28,7,6,2
02/02/2016,26,15,27,11,6,2
03/02/2016,27,9,16,21,8,2
04/02/2016,23,9,19,20,6,2
05/02/2016,22,4,24,8,2,2
06/02/2016,13,6,23,8,1,3
07/02/2016,13,6,25,3,1,3
08/02/2016,13,7,19,21,2,5
09/02/2016,20,3,17,24,2,3
10/02/2016,4,10,16,24,2,3
12/02/2016,21,11,17,15,2,3
13/02/2016,21,9,24,6,2,3
14/02/2016,8,9,20,14,2,3
15/02/2016,12,18,19,25,3,3
16/02/2016,25,11,23,6,2,3
17/02/2016,24,6,17,25,3,3
18/02/2016,16,9,18,12,3,3
19/02/2016,13,5,23,7,3,3
20/02/2016,15,8,26,9,3,3
21/02/2016,16,6,24,12,3,3
22/02/2016,12,10,17,23,5,3
23/02/2016,15,9,14,22,5,3
24/02/2016,14,10,12,25,6,3
25/02/2016,15,11,12,22,7,3
26/02/2016,17,15,13,18,6,3
27/02/2016,27,18,14,16,2,1
28/02/2016,41,19,13,24,12,1
29/02/2016,47,13,20,8,1,3
01/03/2016,33,6,22,8,1,3
02/03/2016,10,9,20,15,5,1
03/03/2016,12,9,16,17,3,1
04/03/2016,16,9,21,9,2,1
05/03/2016,15,7,18,14,2,1
06/03/2016,11,8,18,16,5,1
07/03/2016,19,9,19,19,5,1
08/03/2016,13,9,21,9,3,1
09/03/2016,17,8,17,16,4,1
10/03/2016,17,16,7,26,7,2
11/03/2016,40,16,9,19,5,1
12/03/2016,50,7,20,7,4,1
13/03/2016,12,12,16,15,5,1
14/03/2016,34,30,8,14,5,1
15/03/2016,79,18,18,9,4,6
16/03/2016,51,5,19,9,5,3
17/03/2016,15,21,12,17,8,10
18/03/2016,54,8,19,8,6,9
19/03/2016,13,15,27,11,6,9
20/03/2016,30,15,22,11,7,9
21/03/2016,45,12,22,14,6,10
22/03/2016,21,9,17,13,7,10
23/03/2016,15,11,18,11,7,10
24/03/2016,18,10,19,17,5,3
25/03/2016,18,13,27,5,5,1
26/03/2016,22,6,30,2,5,1
27/03/2016,16,7,21,18,6,2
28/03/2016,18,8,21,16,5,2
29/03/2016,18,10,11,22,6,2
30/03/2016,27,9,21,10,6,3
31/03/2016,16,5,26,3,6,3
01/10/2015,43,19,20,9,4,3
02/10/2015,60,13,19,10,5,4
03/10/2015,51,18,20,10,4,4
04/10/2015,61,21,19,6,5,3
05/10/2015,65,9,8,10,5,3
06/10/2015,36,12,3,12,5,4
07/10/2015,42,9,12,14,5,4
08/10/2015,30,11,13,13,5,4
09/10/2015,27,18,10,9,5,3
10/10/2015,54,12,15,7,5,3
11/10/2015,36,9,11,10,6,3
12/10/2015,28,8,11,12,6,3
13/10/2015,21,10,8,13,4,3
14/10/2015,33,15,10,18,3,3
15/10/2015,42,20,13,16,6,3
16/10/2015,56,22,22,18,5,3
17/10/2015,66,10,22,8,3,3
19/10/2015,32,14,16,9,3,2
20/10/2015,28,3,17,4,3,1
21/10/2015,9,18,22,6,3,2
22/10/2015,33,7,23,3,3,1
23/10/2015,14,5,22,7,3,1
24/10/2015,14,6,21,2,3,1
26/10/2015,10,13,14,9,4,3
27/10/2015,43,20,7,8,4,2
28/10/2015,68,18,4,12,5,3
29/10/2015,60,11,15,12,4,2
30/10/2015,29,11,7,14,5,3
31/10/2015,32,7,18,6,4,2
01/11/2015,21,12,15,11,5,2
02/11/2015,33,17,4,16,6,3
03/11/2015,55,18,4,15,6,4
04/11/2015,60,17,5,11,7,4
05/11/2015,60,25,4,12,9,5
06/11/2015,78,12,15,9,6,2
07/11/2015,35,8,17,11,5,2
08/11/2015,22,6,22,3,5,2
09/11/2015,10,6,24,4,5,2
10/11/2015,18,3,20,7,6,1
11/11/2015,12,4,19,5,6,1
12/11/2015,10,10,24,3,6,2
13/11/2015,13,5,22,6,6,2
14/11/2015,13,7,22,8,6,2
15/11/2015,17,4,19,9,6,2
16/11/2015,13,6,24,4,3,2
17/11/2015,14,8,21,10,1,2
18/11/2015,16,5,23,5,1,1
19/11/2015,15,7,19,9,1,2
20/11/2015,15,5,17,13,2,2
21/11/2015,13,8,17,12,2,3
22/11/2015,15,6,17,14,2,3
23/11/2015,20,5,19,6,2,2
24/11/2015,13,9,17,12,2,2
25/11/2015,20,11,12,20,2,3
26/11/2015,28,4,16,9,2,1
27/11/2015,9,4,19,9,3,2
28/11/2015,13,3,22,4,2,3
29/11/2015,7,3,21,8,2,3
30/11/2015,9,6,15,14,3,3
01/12/2015,17,8,15,12,3,3
02/12/2015,19,8,25,11,3,2
03/12/2015,22,8,10,18,3,3
04/12/2015,21,7,22,3,1,1
05/12/2015,18,2,26,1,1,1
06/12/2015,9,8,21,8,2,2
07/12/2015,16,12,13,12,2,2
08/12/2015,36,11,25,4,2,2
09/12/2015,22,5,24,1,2,2
10/12/2015,11,7,21,5,2,2
11/12/2015,15,6,19,9,2,3
12/12/2015,15,10,8,21,3,3
13/12/2015,31,11,7,18,5,4
14/12/2015,37,6,15,12,3,3
15/12/2015,21,10,16,7,3,2
16/12/2015,33,11,14,13,4,3
17/12/2015,34,9,21,4,3,1
18/12/2015,19,8,23,2,3,1
19/12/2015,19,8,24,1,3,1
20/12/2015,25,5,25,1,4,2
21/12/2015,13,10,23,6,4,2
22/12/2015,21,10,24,3,4,2
23/12/2015,20,8,23,2,4,2
24/12/2015,14,4,24,4,4,2
25/12/2015,12,6,23,4,4,2
26/12/2015,14,2,24,2,4,2
30/12/2015,21,6,27,5,6,4
31/12/2015,18,10,22,8,3,3
01/07/2015,63,19,26,7,2,3
02/07/2015,34,15,24,7,2,3
03/07/2015,27,13,26,4,2,3
04/07/2015,18,15,23,7,3,3
05/07/2015,26,12,19,5,2,3
06/07/2015,14,11,22,6,3,3
07/07/2015,13,11,16,9,3,3
08/07/2015,10,11,19,8,3,3
09/07/2015,15,13,24,7,3,3
10/07/2015,23,12,22,3,3,3
11/07/2015,18,9,17,4,3,3
12/07/2015,14,12,12,10,4,3
13/07/2015,20,15,15,8,4,3
14/07/2015,27,10,19,6,4,3
15/07/2015,13,13,24,4,4,3
16/07/2015,14,12,25,4,4,3
17/07/2015,14,12,21,3,4,3
18/07/2015,14,10,24,7,4,3
19/07/2015,12,11,17,7,5,3
20/07/2015,18,13,15,8,5,3
21/07/2015,16,12,15,6,2,3
22/07/2015,13,11,17,6,3,3
23/07/2015,11,13,17,6,1,3
24/07/2015,18,13,17,4,2,3
25/07/2015,18,12,23,4,1,3
26/07/2015,16,14,25,5,1,3
27/07/2015,12,12,19,9,1,1
28/07/2015,14,11,16,9,2,1
29/07/2015,16,8,18,9,2,2
30/07/2015,6,10,22,2,1,2
12/08/2015,30,24,20,13,4,4
13/08/2015,54,17,14,15,4,4
14/08/2015,35,15,17,6,4,3
15/08/2015,24,15,7,11,4,3
16/08/2015,28,16,26,9,5,3
17/08/2015,32,17,10,15,6,3
18/08/2015,30,14,20,6,4,3
19/08/2015,18,12,20,4,4,3
20/08/2015,14,14,19,3,5,2
21/08/2015,22,17,15,6,5,3
22/08/2015,29,38,48,5,5,4
23/08/2015,69,12,26,9,5,3
24/08/2015,15,6,21,8,5,3
25/08/2015,12,5,23,6,5,3
26/08/2015,11,5,18,4,5,3
27/08/2015,12,6,21,5,5,3
28/08/2015,20,6,24,4,6,3
29/08/2015,19,6,24,7,6,3
30/08/2015,20,5,9,11,7,3
31/08/2015,16,10,22,8,3,3
03/09/2015,13,7,12,14,1,3
04/09/2015,20,7,18,6,3,3
05/09/2015,21,6,22,6,3,3
06/09/2015,18,8,15,11,1,3
07/09/2015,23,16,16,5,1,3
08/09/2015,55,12,20,6,1,4
09/09/2015,43,12,27,4,1,4
10/09/2015,28,15,29,3,1,3
11/09/2015,35,10,27,3,1,3
15/09/2015,22,7,21,8,2,6
16/09/2015,27,10,13,12,2,7
17/09/2015,31,9,14,12,2,7
18/09/2015,36,7,20,9,2,8
19/09/2015,27,5,23,5,2,7
20/09/2015,22,5,16,11,3,7
21/09/2015,15,5,11,10,3,8
22/09/2015,16,6,13,5,2,8
23/09/2015,27,5,16,3,2,6
24/09/2015,13,9,18,7,3,3
25/09/2015,20,11,14,7,3,3
26/09/2015,32,15,21,10,4,3
27/09/2015,48,14,16,13,4,4
28/09/2015,43,17,15,16,4,4
29/09/2015,45,33,10,20,6,5
30/09/2015,78,16,18,13,4,4
01/04/2015,14,14,23,10,2,2
02/04/2015,18,15,14,11,3,3
03/04/2015,45,11,18,12,2,2
04/04/2015,18,8,22,7,2,2
05/04/2015,12,13,22,11,2,2
06/04/2015,23,15,19,7,1,2
07/04/2015,24,10,22,8,3,3
13/05/2015,9,12,27,4,1,2
14/05/2015,13,13,26,6,1,1
15/05/2015,22,14,28,6,1,3
16/05/2015,18,10,27,4,1,3
17/05/2015,13,8,25,8,2,3
18/05/2015,8,9,24,9,3,3
19/05/2015,10,11,25,9,3,3
20/05/2015,14,20,24,7,2,3
21/05/2015,30,11,17,7,3,3
22/05/2015,13,20,24,6,2,3
23/05/2015,33,10,23,5,2,3
24/05/2015,10,20,24,8,3,3
25/05/2015,30,13,25,8,3,3
26/05/2015,16,13,22,6,2,3
27/05/2015,17,11,20,7,3,3
28/05/2015,8,11,20,8,3,3
29/05/2015,10,10,23,6,3,3
30/05/2015,9,10,23,5,3,3
31/05/2015,10,10,25,2,3,3
01/06/2015,10,12,24,3,3,3
02/06/2015,13,12,22,8,3,1
03/06/2015,14,20,22,11,4,1
04/06/2015,34,18,27,7,4,3
05/06/2015,35,12,23,2,3,3
06/06/2015,12,12,23,5,4,3
07/06/2015,15,11,22,7,4,1
08/06/2015,11,15,28,10,5,1
09/06/2015,27,13,32,8,4,1
10/06/2015,20,18,32,10,5,1
11/06/2015,31,21,30,9,6,1
12/06/2015,40,17,28,4,4,3
13/06/2015,19,10,22,3,4,3
14/06/2015,9,15,18,8,5,1
15/06/2015,21,17,21,7,5,1
16/06/2015,34,11,18,6,5,3
17/06/2015,12,15,19,9,5,1
18/06/2015,20,11,14,6,3,1
19/06/2015,10,11,17,6,1,3
20/06/2015,16,10,17,4,1,3
21/06/2015,12,11,14,7,2,3
22/06/2015,13,15,18,6,2,3
23/06/2015,25,17,14,10,3,3
24/06/2015,31,14,13,8,1,3
25/06/2015,27,13,17,5,1,1
26/06/2015,20,14,22,2,1,1
27/06/2015,19,10,20,2,1,3
28/06/2015,12,12,17,4,2,3
29/06/2015,13,11,15,5,2,3
30/06/2015,18,37,29,14,3,1
02/01/2015,31,9,22,8,2,1
03/01/2015,19,10,16,21,2,1
04/01/2015,32,8,19,9,2,1
05/01/2015,31,5,17,9,2,3
06/01/2015,28,5,19,12,2,3
07/01/2015,25,5,22,4,2,3
08/01/2015,28,10,20,7,2,3
09/01/2015,28,19,23,12,2,3
10/01/2015,41,8,22,9,2,3
11/01/2015,29,5,22,5,2,3
12/01/2015,23,15,24,6,2,3
13/01/2015,38,6,20,6,2,3
14/01/2015,26,5,19,6,2,3
15/01/2015,24,11,23,4,2,3
16/01/2015,32,9,19,5,2,3
17/01/2015,22,7,11,19,2,1
18/01/2015,31,8,16,15,2,1
19/01/2015,27,17,8,31,5,2
20/01/2015,50,13,7,26,3,2
21/01/2015,52,24,5,23,3,2
22/01/2015,81,22,5,20,3,2
23/01/2015,76,9,16,9,2,3
24/01/2015,36,10,18,12,2,3
25/01/2015,35,6,19,5,2,3
26/01/2015,28,11,18,16,2,3
27/01/2015,31,9,17,8,2,3
28/01/2015,32,10,19,11,2,3
31/01/2015,18,8,17,12,3,3
03/02/2015,50,8,7,22,3,1
04/02/2015,39,21,3,22,2,3
05/02/2015,37,13,9,17,2,3
06/02/2015,32,19,13,14,2,3
07/02/2015,55,10,12,13,1,3
08/02/2015,29,11,19,7,3,3
09/02/2015,23,5,22,6,3,1
10/02/2015,11,7,21,5,3,1
11/02/2015,23,18,14,5,3,1
12/02/2015,55,15,14,11,1,1
13/02/2015,43,37,13,7,1,2
14/02/2015,92,30,16,7,3,1
15/02/2015,61,26,18,6,1,2
16/02/2015,68,12,20,11,3,2
17/02/2015,22,12,23,3,3,1
18/02/2015,17,9,25,3,3,3
19/02/2015,14,10,25,5,3,3
20/02/2015,14,7,22,10,1,3
21/02/2015,9,9,21,14,1,3
22/02/2015,15,7,25,9,1,3
23/02/2015,12,9,27,3,1,3
24/02/2015,15,12,24,12,1,3
25/02/2015,16,6,21,12,1,3
26/02/2015,12,9,23,9,1,2
27/02/2015,13,13,27,5,1,2
28/02/2015,22,12,28,3,1,1
01/03/2015,23,6,29,4,1,2
02/03/2015,8,8,25,8,1,2
03/03/2015,9,9,25,5,1,2
04/03/2015,13,12,23,13,2,2
05/03/2015,14,12,26,4,1,1
06/03/2015,15,15,28,3,1,1
07/03/2015,23,11,28,1,1,3
08/03/2015,22,9,29,5,1,2
09/03/2015,15,13,28,5,1,2
10/03/2015,16,15,24,13,2,2
11/03/2015,20,14,21,11,1,2
12/03/2015,26,14,20,10,2,2
13/03/2015,36,14,20,14,2,1
14/03/2015,23,22,24,3,1,3
15/03/2015,46,24,24,7,1,3
16/03/2015,33,26,17,7,2,1
17/03/2015,58,46,8,18,2,3
18/03/2015,109,48,16,16,2,9
19/03/2015,119,31,16,13,2,9
20/03/2015,73,15,21,11,2,8
21/03/2015,29,17,25,9,1,7
22/03/2015,19,20,25,3,1,7
23/03/2015,44,12,21,10,1,5
24/03/2015,19,11,20,12,2,3
25/03/2015,17,13,21,12,1,3
26/03/2015,25,12,20,9,2,3
27/03/2015,24,13,26,9,1,3
28/03/2015,15,9,26,3,1,1
29/03/2015,5,9,25,8,1,2
30/03/2015,14,9,25,9,2,2
31/03/2015,14,12,24,10,1,2
12/12/2014,27,7,22,8,3,3
13/12/2014,28,8,22,8,3,3
14/12/2014,28,7,22,8,3,3
15/12/2014,26,8,17,13,3,3
16/12/2014,27,8,19,18,2,1
17/12/2014,31,5,19,14,2,3
18/12/2014,20,4,20,9,2,3
19/12/2014,25,9,23,12,2,1
20/12/2014,29,8,21,13,2,1
21/12/2014,31,3,22,3,2,3
22/12/2014,24,13,22,10,2,3
23/12/2014,18,7,23,13,2,3
24/12/2014,16,7,21,9,3,3
01/07/2014,30,12,30,4,1,3
02/07/2014,38,14,22,4,1,3
03/07/2014,33,5,15,4,3,3
04/07/2014,20,10,18,9,2,3
05/07/2014,26,7,18,5,1,3
06/07/2014,24,8,19,6,1,3
07/07/2014,22,9,21,11,2,3
08/07/2014,33,11,20,9,3,3
09/07/2014,37,13,23,8,2,3
10/07/2014,34,17,20,11,3,3
11/07/2014,55,10,13,11,2,3
12/07/2014,39,5,15,6,3,3
13/07/2014,17,5,16,6,3,3
14/07/2014,18,9,14,7,3,3
15/07/2014,23,7,15,6,3,3
16/07/2014,26,9,20,6,3,3
17/07/2014,27,13,19,4,3,3
18/07/2014,35,18,20,6,3,3
19/07/2014,40,12,22,8,3,3
20/07/2014,39,8,21,7,3,3
21/07/2014,22,13,24,10,4,3
22/07/2014,39,12,24,5,4,3
23/07/2014,38,12,27,5,4,1
24/07/2014,43,15,28,9,4,2
25/07/2014,53,13,23,11,4,2
26/07/2014,50,5,17,5,4,2
27/07/2014,18,9,22,9,5,2
28/07/2014,32,8,15,8,5,2
29/07/2014,20,9,17,6,2,1
30/07/2014,27,8,18,8,1,3
31/07/2014,28,11,19,9,1,3
01/08/2014,37,14,23,6,1,3
02/08/2014,46,8,20,5,2,3
03/08/2014,22,9,16,6,2,3
04/08/2014,24,14,18,10,2,3
05/08/2014,37,14,14,11,2,2
06/08/2014,47,12,17,8,2,3
07/08/2014,24,10,18,10,2,3
11/08/2014,23,6,18,6,3,3
12/08/2014,20,8,15,12,3,3
13/08/2014,29,11,14,10,3,3
14/08/2014,28,8,15,11,4,3
15/08/2014,31,6,19,6,3,3
16/08/2014,27,7,18,3,3,3
17/08/2014,30,6,18,6,3,4
18/08/2014,17,10,22,8,3,3
21/08/2014,28,7,16,15,3,3
22/08/2014,27,7,12,15,3,3
23/08/2014,33,6,22,8,3,3
24/08/2014,29,15,24,4,3,3
25/08/2014,39,11,25,3,3,3
26/08/2014,28,22,24,7,3,3
27/08/2014,44,10,21,4,3,3
28/08/2014,37,6,20,3,3,3
29/08/2014,24,8,20,7,3,3
30/08/2014,28,6,21,4,3,3
31/08/2014,28,14,15,9,10,3
01/09/2014,40,13,16,9,4,3
02/09/2014,41,25,10,15,4,1
03/09/2014,64,27,13,16,5,1
04/09/2014,72,17,17,14,4,3
05/09/2014,54,10,15,10,8,3
06/09/2014,38,8,18,8,8,1
07/09/2014,34,13,16,13,7,1
08/09/2014,46,15,11,13,9,1
09/09/2014,52,21,19,11,6,1
10/09/2014,62,29,15,12,6,1
11/09/2014,82,37,13,6,5,3
12/09/2014,102,10,22,8,3,3
01/04/2014,35,26,34,6,3,1
02/04/2014,72,38,26,7,4,1
03/04/2014,102,28,28,15,4,1
04/04/2014,84,5,24,8,4,3
05/04/2014,20,4,30,2,3,3
06/04/2014,15,10,25,13,5,1
07/04/2014,30,7,31,8,4,1
08/04/2014,22,10,29,6,3,1
09/04/2014,29,10,31,9,1,1
10/04/2014,25,6,29,7,1,1
11/04/2014,18,9,33,4,1,1
12/04/2014,24,9,33,5,2,1
13/04/2014,26,8,29,9,3,1
14/04/2014,20,13,33,8,2,1
15/04/2014,40,21,35,5,2,1
16/04/2014,56,11,33,7,3,1
17/04/2014,28,17,28,13,3,2
18/04/2014,36,16,32,11,3,1
19/04/2014,44,12,37,4,2,1
20/04/2014,39,27,40,3,3,1
21/04/2014,61,27,35,6,3,3
22/04/2014,63,26,20,11,3,3
23/04/2014,77,8,31,7,3,3
24/04/2014,28,9,29,5,3,1
25/04/2014,37,13,32,5,4,3
26/04/2014,49,20,33,4,4,3
27/04/2014,56,32,34,10,4,1
28/04/2014,67,18,28,12,4,1
29/04/2014,57,12,35,5,4,3
30/04/2014,45,10,36,3,4,3
01/05/2014,19,10,32,4,2,3
02/05/2014,22,15,26,9,3,3
03/05/2014,41,8,25,8,1,3
04/05/2014,36,17,33,8,3,3
05/05/2014,50,9,29,5,3,3
06/05/2014,28,5,29,5,3,3
07/05/2014,17,5,25,8,1,3
08/05/2014,20,6,29,7,1,3
09/05/2014,22,4,30,4,1,3
10/05/2014,15,6,31,7,1,3
11/05/2014,24,12,32,5,2,3
12/05/2014,29,11,29,14,3,1
13/05/2014,32,11,24,10,2,3
14/05/2014,38,9,23,8,2,3
15/05/2014,31,11,30,7,2,3
16/05/2014,35,9,33,2,3,3
17/05/2014,29,12,40,2,2,3
18/05/2014,42,27,36,6,3,3
19/05/2014,66,22,32,5,3,3
20/05/2014,56,10,32,9,3,3
21/05/2014,36,6,29,5,3,3
22/05/2014,17,5,25,3,3,3
23/05/2014,16,6,29,2,3,3
24/05/2014,19,12,33,5,3,3
25/05/2014,38,12,25,7,4,3
26/05/2014,42,16,28,7,4,3
27/05/2014,48,19,27,3,4,3
28/05/2014,41,18,34,3,2,3
29/05/2014,43,17,33,8,1,3
30/05/2014,50,17,31,9,2,3
31/05/2014,53,11,27,4,1,3
01/06/2014,43,4,21,4,1,3
02/06/2014,17,8,23,9,1,3
03/06/2014,27,10,22,8,1,3
04/06/2014,32,8,29,10,1,3
05/06/2014,28,7,27,5,2,3
06/06/2014,25,13,31,5,2,3
07/06/2014,39,10,29,1,2,3
08/06/2014,28,16,26,9,2,1
09/06/2014,43,12,20,10,2,1
10/06/2014,43,9,25,7,2,1
11/06/2014,31,11,22,9,2,1
12/06/2014,35,14,15,13,3,1
13/06/2014,47,8,21,5,3,3
14/06/2014,30,6,20,2,3,3
15/06/2014,23,8,24,5,3,3
16/06/2014,31,11,19,6,4,3
17/06/2014,31,12,18,8,4,3
18/06/2014,45,6,19,4,3,3
19/06/2014,22,6,4,7,1,3
20/06/2014,23,8,3,8,2,3
21/06/2014,28,8,4,7,4,3
22/06/2014,30,9,3,8,2,3
23/06/2014,31,6,18,6,1,3
24/06/2014,24,8,19,4,1,3
25/06/2014,23,7,24,3,3,3
26/06/2014,22,11,23,4,3,3
27/06/2014,21,9,22,3,3,3
28/06/2014,23,6,21,3,3,3
29/06/2014,20,8,21,6,1,1
30/06/2014,25,10,21,5,1,3
02/01/2014,27,8,26,5,2,3
03/01/2014,24,11,34,2,3,3
04/01/2014,29,13,27,12,3,3
05/01/2014,30,8,25,7,3,3
06/01/2014,23,15,32,2,3,3
07/01/2014,34,10,27,4,3,3
08/01/2014,21,11,26,7,3,3
09/01/2014,25,13,17,17,4,1
10/01/2014,33,8,22,11,5,3
11/01/2014,20,12,15,11,3,3
12/01/2014,32,12,15,11,8,3
13/01/2014,30,13,22,11,5,1
14/01/2014,29,16,14,17,1,2
15/01/2014,51,11,17,10,1,1
16/01/2014,26,17,10,17,1,2
17/01/2014,41,23,9,17,2,2
18/01/2014,63,13,17,7,1,1
19/01/2014,46,18,16,7,1,2
20/01/2014,41,10,20,13,2,2
21/01/2014,27,14,17,10,2,2
22/01/2014,38,11,18,10,2,2
23/01/2014,30,12,24,14,2,2
24/01/2014,30,12,17,11,2,2
25/01/2014,29,19,30,7,2,1
26/01/2014,38,12,28,2,2,1
27/01/2014,22,12,26,11,2,2
28/01/2014,34,15,21,8,3,2
29/01/2014,37,17,24,5,2,2
30/01/2014,38,32,18,8,3,3
31/01/2014,69,12,10,11,3,3
01/02/2014,38,10,30,5,2,1
02/02/2014,22,12,29,2,3,1
03/02/2014,27,18,22,8,3,2
04/02/2014,40,11,19,10,3,2
05/02/2014,30,3,22,9,3,1
06/02/2014,18,10,21,10,3,1
08/02/2014,40,9,25,8,3,1
09/02/2014,33,10,29,3,3,3
10/02/2014,32,12,25,8,3,3
11/02/2014,28,11,25,8,2,1
12/02/2014,28,11,26,11,2,1
13/02/2014,24,7,29,5,1,3
14/02/2014,18,11,25,10,2,1
15/02/2014,24,9,17,17,3,1
16/02/2014,30,15,22,14,2,1
17/02/2014,32,19,15,14,2,1
18/02/2014,50,19,2,25,3,1
19/02/2014,57,5,17,14,1,1
20/02/2014,41,4,30,6,3,3
21/02/2014,21,3,28,3,3,3
22/02/2014,25,10,30,3,3,3
23/02/2014,25,10,35,1,3,3
24/02/2014,24,10,27,12,3,3
25/02/2014,19,8,32,5,3,3
26/02/2014,23,9,29,5,3,3
27/02/2014,26,9,29,12,1,3
28/02/2014,22,10,26,15,1,3
01/03/2014,27,9,29,7,1,3
02/03/2014,24,6,31,8,1,3
03/03/2014,23,8,25,20,1,3
04/03/2014,23,10,28,6,3,2
05/03/2014,25,9,28,5,3,1
06/03/2014,25,2,26,5,3,1
07/03/2014,25,10,27,8,1,1
08/03/2014,27,13,34,5,1,1
09/03/2014,54,6,25,11,1,1
10/03/2014,33,14,22,16,1,2
11/03/2014,37,23,15,12,3,3
12/03/2014,56,26,19,9,3,3
13/03/2014,67,18,19,1,1,1
14/03/2014,58,16,26,2,1,1
15/03/2014,44,11,31,8,3,1
16/03/2014,34,10,22,8,3,3
18/03/2014,32,8,30,6,2,3
19/03/2014,26,15,31,4,2,3
20/03/2014,37,6,34,5,2,1
